Entry No.,CPU Cores,Memory,Bandwidth,Hour1,Hour2,Day Start,Day End,Month Start,Month End,Year Start,Year End,Instances,,,,,
73,4,2,128,0.261257244,0.487548063,7.319930608,15.43723053,340,1001,350482,928868,4,,,,,
74,4,16,64,0.240507834,0.106086011,4.183137132,9.894923294,274,728,353309,58619,6,,,,,
75,8,8,256,0.251543311,0.156509464,8.208870088,20.68690504,576,862,817867,320475,6,,,,,
76,8,2,128,0.311701573,0.436472113,1.924749428,5.230234566,501,179,615040,542034,2,,,,,
77,2,4,32,0.092981915,0.185633136,7.462515448,11.89073705,253,338,509396,735841,8,,,,,
78,2,16,128,0.164601035,0.833771372,1.815413407,27.97400905,829,787,496374,21039,4,,,,,
79,8,4,16,0.246641141,0.824355847,9.988465528,5.843126664,361,170,180607,423050,2,,,,,
80,8,4,512,0.328618947,0.739523371,18.96570018,27.01404689,215,492,35818,60221,4,,,,,
81,4,16,128,0.24326666,0.231372916,7.702556564,19.79562496,372,531,113913,745896,8,,,,,
82,4,16,32,0.391139454,0.804300846,7.543119324,1.133747916,579,237,760411,66158,8,,,,,
83,4,4,32,0.176998091,0.178001854,14.95816465,8.366593763,264,356,298443,171675,8,,,,,
84,4,8,32,0.098168121,0.286130241,1.476896842,17.23591437,572,408,47625,965533,8,,,,,
85,8,4,64,0.381151288,0.128389722,16.55688559,18.41873146,462,999,228129,600393,4,,,,,
86,2,16,128,0.197402635,0.772107515,14.19230026,24.43502751,455,175,576706,907161,8,,,,,
87,2,16,16,0.310130136,0.8267959,10.41678878,14.91734907,590,44,738274,594691,4,,,,,
88,8,8,128,0.342448959,0.866289149,6.325643516,22.97367019,230,413,463528,342047,8,,,,,
89,2,16,1024,0.140465621,0.541785137,19.59709577,12.02696583,352,402,813452,82413,6,,,,,
90,8,16,16,0.025944011,0.606038259,16.97988278,9.554328127,779,958,142278,492983,4,,,,,
91,8,4,1024,0.277297264,0.721121676,16.39444413,3.870467201,898,279,166062,752258,6,,,,,
92,8,8,16,0.166206982,0.85471713,4.952128814,13.12389575,903,350,412372,550773,2,,,,,
93,4,2,32,0.01255041,0.653463786,6.887743765,12.57191207,663,797,422563,888845,8,,,,,
94,2,2,256,0.173840715,0.775724751,17.67274594,16.32046489,407,1010,768982,687219,6,,,,,
95,8,4,32,0.153506588,0.665253112,9.744875323,6.262324621,162,908,704983,52071,4,,,,,
96,8,2,64,0.138380441,0.614056322,19.45821043,19.89176713,143,747,42396,421948,2,,,,,
97,2,4,16,0.115159973,0.341924911,8.186470638,19.13721082,151,986,646185,558106,8,,,,,
98,4,16,128,0.095065454,0.800638191,19.05783014,24.1787732,619,586,2730,108902,4,,,,,
99,4,16,128,0.212135305,0.553575284,17.96885605,7.562990143,650,1007,378198,128025,4,,,,,
100,8,8,1024,0.206626816,0.298184816,18.1889366,12.57673937,304,441,202729,953347,8,,,,,
101,4,2,1024,0.256326076,0.771964442,17.95950241,26.78822379,720,514,144501,157515,6,,,,,
102,2,8,64,0.387503693,0.814470276,2.106289688,25.41122112,592,332,81606,221999,4,,,,,
103,4,16,1024,0.16852368,0.833106016,18.93406081,4.055902106,461,201,306734,193228,8,,,,,
104,8,4,64,0.332521769,0.647854241,19.98680585,13.68939373,85,158,516414,556164,4,,,,,
105,4,8,32,0.218930887,0.04623785,4.071257833,12.28567501,93,761,709882,87014,2,,,,,
106,8,16,1024,0.275581757,0.574958643,17.98741097,24.06217751,409,178,106641,896832,6,,,,,
107,8,16,128,0.295684398,0.084696018,13.85483726,28.7771429,675,103,365799,945635,8,,,,,
108,2,16,128,0.262515052,0.411580039,6.250277331,17.77815065,132,838,584357,424673,6,,,,,
109,2,16,64,0.07994718,0.876853389,1.703452943,4.460590247,183,574,405629,479463,8,,,,,
110,4,4,32,0.102191377,0.857214113,13.79771353,25.51767386,503,329,350575,664513,2,,,,,
111,4,4,256,0.371275743,0.325516744,5.037452829,24.95812757,127,589,589250,222989,2,,,,,
112,4,16,16,0.321303051,0.340468717,1.597205391,20.6241016,867,76,37388,279850,4,,,,,
113,4,4,32,0.16657848,0.547440066,19.79211891,29.4220593,114,560,774958,282339,8,,,,,
114,4,2,32,0.0306127,0.198359578,11.41765735,10.46131998,247,260,334901,77243,6,,,,,
115,8,2,128,0.10782855,0.464809979,18.82221373,23.07799121,571,122,815763,322276,6,,,,,
116,4,4,1024,0.010283432,0.796652796,9.048708705,9.51231104,232,714,6687,59211,8,,,,,
117,2,4,128,0.283503647,0.509247824,5.906364082,23.8880859,390,238,455247,826633,2,,,,,
118,4,2,1024,0.096634917,0.309073779,10.45507526,25.36085379,654,721,457830,906829,8,,,,,
119,8,4,16,0.222807808,0.175119218,21.19958867,11.30220063,333,864,345572,801609,8,,,,,
120,4,2,512,0.20235014,0.764331138,21.39006644,17.37118989,80,448,316191,935248,8,,,,,
121,2,4,16,0.220877138,0.14548749,12.44087197,14.83474855,265,713,768110,431826,2,,,,,
122,8,8,1024,0.302413277,0.208283358,11.43212607,25.58281925,435,330,241506,861475,6,,,,,
123,2,8,256,0.174429183,0.802498871,16.28254698,28.83282952,254,710,312446,174447,6,,,,,
124,2,16,64,0.310768504,0.254175912,12.71654553,22.34349054,252,332,212728,898017,2,,,,,
125,8,8,512,0.337207456,0.175338061,3.936942316,26.88980549,759,764,138212,984960,6,,,,,
126,2,2,32,0.017261177,0.043090695,18.66161318,6.779218407,397,104,746037,463191,6,,,,,
127,8,2,32,0.22251113,0.069869555,13.52401969,19.20062975,291,974,227661,624635,6,,,,,
128,8,2,512,0.317129935,0.261390755,2.326480898,21.54823027,779,741,438846,78585,8,,,,,
129,4,8,64,0.262965752,0.209994558,6.277776951,19.65121572,156,113,316852,713313,2,,,,,
130,2,16,256,0.168457289,0.181391587,4.777475241,2.556971804,736,595,424386,503927,4,,,,,
131,4,16,128,0.138480748,0.84066253,6.024399985,16.4763764,171,754,393767,75268,8,,,,,
132,2,8,128,0.391171863,0.314437008,10.23445661,29.83497601,560,793,200063,485201,6,,,,,
133,2,16,16,0.260025635,0.131022636,2.303303556,6.866663916,799,162,317442,525701,2,,,,,
134,2,8,16,0.125357122,0.147880434,13.99373811,18.67528026,357,798,638297,233688,8,,,,,
135,4,2,16,0.055798736,0.633508781,18.90201362,23.11364969,222,300,705764,496950,8,,,,,
136,8,4,128,0.095546153,0.527455039,12.67887694,24.31760626,532,641,191489,43890,8,,,,,
137,8,8,1024,0.082027381,0.346211031,12.31598628,12.73929848,54,521,528577,3505,6,,,,,
138,4,2,64,0.165159655,0.846298137,19.88112063,29.73992224,898,612,216236,609300,6,,,,,
139,4,2,32,0.238258373,0.46776689,1.339944971,16.21152521,703,274,208440,97587,6,,,,,
140,8,4,32,0.166628414,0.622544839,4.826871778,30.24536424,749,348,227818,529000,4,,,,,
141,2,16,512,0.147042826,0.722115385,15.8524274,15.55973618,80,1037,288383,68358,2,,,,,
142,4,16,128,0.204236777,0.039581514,5.299136777,2.903017258,771,672,98043,466842,4,,,,,
143,2,4,256,0.069633519,0.888154018,18.65708777,14.78154922,533,357,71799,148300,4,,,,,
144,8,8,128,0.021639609,0.728161231,7.013626009,26.47263432,196,964,565714,867755,8,,,,,
145,8,4,1024,0.127982811,0.116138377,5.292041299,30.45631848,282,685,552440,694709,8,,,,,
146,4,8,1024,0.09826291,0.442904521,19.73879661,18.02980686,463,408,306256,554495,2,,,,,
147,2,16,16,0.150863003,0.406911674,19.34838079,8.293154091,796,653,782599,493251,8,,,,,
148,2,4,32,0.229554331,0.160331636,13.12975848,7.937642157,232,1031,575706,641679,6,,,,,
149,2,16,32,0.328092333,0.693544364,5.82523804,10.8836119,414,631,183518,746660,6,,,,,
150,8,16,1024,0.037829018,0.694786785,16.30956075,15.31614203,167,805,408617,736191,8,,,,,
151,2,16,16,0.201596209,0.144023447,11.43946854,30.53136478,728,569,157431,413240,6,,,,,
152,4,8,512,0.106425189,0.03407262,15.29754788,4.572369676,528,34,169595,125332,4,,,,,
153,2,2,1024,0.163390972,0.867017084,14.97550293,12.58730701,348,614,565367,420949,4,,,,,
154,2,8,512,0.210739434,0.809835653,7.72003314,15.05656817,293,228,389991,179919,4,,,,,
155,8,2,512,0.398736477,0.686259749,10.87224873,26.13657734,751,384,813084,612174,4,,,,,
156,8,8,16,0.196117305,0.732058483,13.98876483,12.86295932,538,843,343767,730605,8,,,,,
157,4,8,16,0.306257332,0.627587477,18.14212679,15.56537362,459,171,56570,918321,4,,,,,
158,2,2,64,0.353102964,0.76792358,9.030083032,16.01384164,469,810,77158,947681,2,,,,,
159,4,4,128,0.269407883,0.659431834,8.034039669,7.33116246,523,728,329296,240696,8,,,,,
160,2,16,64,0.225122266,0.416036006,10.30420963,25.52085157,724,185,803865,449721,8,,,,,
161,2,8,1024,0.011993747,0.321470346,7.467010224,20.2923663,657,627,586479,667990,6,,,,,
162,2,4,16,0.101414684,0.751699685,16.22307363,11.2103805,228,1018,617158,599787,2,,,,,
163,4,16,16,0.295276496,0.410768163,4.100956091,3.307686272,486,88,487054,968302,6,,,,,
164,2,16,1024,0.377447813,0.288468233,17.18442022,10.02445838,669,162,749223,651773,8,,,,,
165,8,8,256,0.323787914,0.333255035,8.826225633,17.78635796,845,447,266474,256178,8,,,,,
166,8,2,16,0.36702726,0.567063474,14.58328944,29.33543556,687,347,655834,135888,8,,,,,
167,4,2,512,0.399676824,0.244028729,15.92572617,13.60615464,648,499,197410,358510,8,,,,,
168,8,2,1024,0.287846053,0.772377023,20.87641558,20.49731502,685,649,618117,482776,4,,,,,
169,2,4,16,0.074839068,0.205432202,18.4391254,25.65222221,201,930,511753,688769,2,,,,,
170,8,2,128,0.088780397,0.183953181,1.636476674,21.82193094,657,991,513914,915530,8,,,,,
171,8,16,64,0.372952212,0.112958342,6.589234382,10.64567401,175,230,38626,3703,6,,,,,
172,2,4,32,0.02542214,0.651193068,8.840284253,26.2828819,698,834,594577,268538,6,,,,,
173,2,8,16,0.130181913,0.599795891,11.23239948,8.385483749,356,275,301012,530633,8,,,,,
174,4,4,64,0.14197148,0.782322184,17.45358516,5.863531231,570,349,279209,326394,4,,,,,
175,4,8,512,0.153476748,0.858084829,9.861286803,26.0842542,301,159,474886,530617,8,,,,,
176,8,16,256,0.261889642,0.566291234,16.96460154,27.56364206,131,318,163545,907219,4,,,,,
177,8,8,64,0.291815153,0.57496133,20.55867571,17.09959474,495,756,542722,169148,6,,,,,
178,4,8,1024,0.294911455,0.755014777,13.52237883,17.73295848,359,132,551233,388149,4,,,,,
179,2,4,512,0.372531498,0.634114429,9.277815569,4.407756834,124,978,49217,445077,6,,,,,
180,8,8,32,0.052486407,0.44980031,1.965308104,18.89157096,58,765,440619,362938,4,,,,,
181,2,4,32,0.297800283,0.747908864,14.27554653,15.12448482,410,814,258230,229164,4,,,,,
182,2,16,256,0.327553487,0.33490584,14.55258009,13.595251,305,792,455760,924966,4,,,,,
183,4,8,32,0.181686164,0.317263952,17.15210044,27.24890854,286,442,88527,563458,2,,,,,
184,8,8,512,0.226847525,0.398889897,20.99166282,2.00289607,588,348,610637,807664,4,,,,,
185,4,16,128,0.39014894,0.859703546,20.10638081,1.442963617,297,732,461302,924569,6,,,,,
186,4,2,64,0.301974357,0.861926255,2.941326129,13.15025682,386,600,535590,565553,4,,,,,
187,8,2,256,0.377718015,0.458192607,6.509689673,10.0136168,79,235,482591,728385,2,,,,,
188,4,8,256,0.306697859,0.654773894,10.93346071,22.00603869,829,953,194864,724587,4,,,,,
189,4,8,64,0.280984443,0.043764735,11.12593507,1.529810444,84,735,675557,766540,4,,,,,
190,8,2,32,0.330585354,0.621817384,20.89151462,9.490646014,726,266,247007,708939,4,,,,,
191,4,4,32,0.14949215,0.294973629,5.280297273,21.51840154,238,589,14831,476840,6,,,,,
192,8,16,32,0.045465036,0.475057359,8.597333331,21.89949605,65,1018,267591,673746,6,,,,,
193,4,16,32,0.246561311,0.540219682,6.143215617,14.59432202,850,626,461330,715724,8,,,,,
194,8,16,256,0.036061603,0.834973063,8.749327478,12.51643312,516,170,29833,631849,2,,,,,
195,2,2,128,0.227367404,0.608401351,9.709559564,19.99285443,183,143,443924,11722,2,,,,,
196,2,2,1024,0.086056518,0.254441365,9.417389583,13.79714838,53,34,545750,228620,6,,,,,
197,4,8,64,0.122724496,0.860016109,12.34927875,18.79387384,487,581,621344,431039,6,,,,,
198,2,8,16,0.097054842,0.291805277,2.504044043,21.26942872,838,885,618319,843683,6,,,,,
199,4,4,16,0.178830961,0.744584434,1.83255497,17.83578657,404,795,147462,473109,2,,,,,
200,4,8,128,0.263459762,0.425364666,2.400299972,1.858838368,479,218,261559,675459,4,,,,,
201,4,2,32,0.275452959,0.62957725,21.1050408,18.37118324,57,548,809973,523624,4,,,,,
202,8,16,16,0.207879925,0.843387368,8.848122917,9.49918146,693,884,480251,850358,6,,,,,
203,4,4,64,0.089367493,0.740032005,5.20265541,10.230702,109,118,335463,981459,6,,,,,
204,4,2,16,0.043729643,0.433354014,13.17726563,2.25205657,78,677,647252,67073,6,,,,,
205,4,16,1024,0.28910122,0.04263519,11.9045743,4.169380788,619,747,269284,351953,8,,,,,
206,8,4,16,0.256660658,0.78892638,15.05092218,18.36063363,731,172,563519,965921,4,,,,,
207,4,4,128,0.049206562,0.543274541,17.03618455,24.7121326,47,967,735441,331341,4,,,,,
208,2,2,256,0.369710426,0.394690894,20.05337882,23.374915,848,295,331698,883265,6,,,,,
209,2,16,256,0.244876179,0.753017189,10.46371076,6.355493444,911,772,541062,46684,4,,,,,
210,4,4,64,0.124387508,0.800447784,17.67708429,26.03220277,826,455,279651,140190,4,,,,,
211,4,2,64,0.195741311,0.874772009,10.80748199,3.473772697,724,188,634360,797526,6,,,,,
212,4,2,512,0.061195097,0.56360493,15.53505877,30.57487156,662,276,535108,354702,4,,,,,
213,4,8,128,0.090615804,0.033986523,9.091996329,4.68913987,401,771,319611,819899,2,,,,,
214,4,4,1024,0.393846198,0.263568192,2.412848622,17.04232895,515,61,511531,145117,4,,,,,
215,4,2,16,0.15722635,0.13623855,10.56415964,21.15851638,43,945,680278,508408,8,,,,,
216,8,4,512,0.042248548,0.064179918,19.02047708,4.325196824,353,856,152667,698088,2,,,,,
217,2,8,16,0.304572014,0.26865167,6.422192589,10.96554342,624,444,663034,207115,2,,,,,
218,2,2,32,0.211983291,0.47310726,4.066406244,23.32256306,369,683,483011,811314,8,,,,,
219,8,4,256,0.367060748,0.072121659,8.324554023,8.956657589,176,388,580798,644508,8,,,,,
220,8,4,16,0.04259456,0.330453828,6.838614896,17.28956039,622,711,229553,635269,4,,,,,
221,8,16,512,0.225553589,0.164013906,13.40082337,12.67230834,148,486,77877,41391,4,,,,,
222,4,16,64,0.157956206,0.710038897,16.30783196,1.928358931,421,510,367712,947740,2,,,,,
223,4,4,256,0.338438453,0.894540406,13.02346934,8.341206315,737,449,613226,774055,6,,,,,
224,2,4,32,0.17583341,0.035909375,8.736166873,13.72235837,521,425,334168,612247,6,,,,,
225,8,4,128,0.244363225,0.768142446,20.85456044,13.4653544,692,331,209672,991900,4,,,,,
226,4,8,128,0.155656682,0.156973969,3.190232304,28.26122604,531,722,254399,871492,4,,,,,
227,2,8,1024,0.198058854,0.348169828,7.264722565,1.177625618,204,593,534323,19596,4,,,,,
228,8,4,512,0.324420352,0.288851261,12.35173945,20.96626177,233,986,687428,106459,6,,,,,
229,2,4,64,0.384051057,0.340034251,20.24358621,24.05801024,811,417,803972,364760,8,,,,,
230,8,8,256,0.275404295,0.175205127,14.36940623,30.46466758,415,63,30685,995455,4,,,,,
231,4,8,512,0.0724192,0.55814043,16.58472869,9.943161921,609,821,188584,415387,6,,,,,
232,4,4,32,0.175940894,0.620272878,7.871992768,22.82720681,160,70,530170,585612,2,,,,,
233,8,8,16,0.300756581,0.086250042,12.09153163,16.67547274,510,617,17582,39774,4,,,,,
234,2,16,16,0.349968077,0.18986222,16.27876126,7.106777483,216,46,731119,18989,6,,,,,
235,8,2,64,0.14502365,0.768202042,14.94557812,5.955254262,41,922,420609,395581,2,,,,,
236,4,16,16,0.364738946,0.680613802,12.11547808,28.41401735,883,1001,385935,942126,8,,,,,
237,4,2,32,0.287398029,0.321943358,20.48742085,30.48137243,489,1005,700367,715967,8,,,,,
238,4,4,32,0.350251206,0.158229205,8.657340083,3.276566559,193,857,436317,829819,8,,,,,
239,8,2,64,0.11333522,0.356412876,2.947347795,25.57273495,446,634,337325,60000,4,,,,,
240,2,16,16,0.187242327,0.73508417,12.17834949,18.50682124,568,890,344250,757522,8,,,,,
241,8,2,128,0.232482241,0.628550196,12.5607233,6.761540027,785,581,190953,108292,4,,,,,
242,8,16,16,0.229134076,0.565414027,5.00126686,16.86766929,818,393,618516,654211,6,,,,,
243,4,8,64,0.345577559,0.696851999,6.963692905,28.29378518,67,544,674925,483073,4,,,,,
244,8,16,1024,0.096595556,0.556314782,8.245458068,12.16809008,35,463,511984,375543,2,,,,,
245,4,8,32,0.243317631,0.749080471,7.708184289,12.52361432,355,434,805589,133144,4,,,,,
246,8,4,64,0.141960838,0.144207952,17.31928722,23.33392899,788,171,631483,439822,6,,,,,
247,2,16,512,0.265258828,0.339680038,13.86244152,23.91042286,323,915,510187,482077,6,,,,,
248,8,8,256,0.271926263,0.436257006,16.57906964,9.892465694,690,207,149825,942014,2,,,,,
249,4,4,512,0.333816332,0.416144585,7.897892347,28.31936898,636,599,309995,286363,8,,,,,
250,8,8,128,0.269083903,0.252039815,4.128616131,26.2431024,784,175,234207,634597,8,,,,,
251,2,2,32,0.233810633,0.556938493,11.5475769,30.15846186,717,371,768592,528132,6,,,,,
252,8,2,512,0.124040662,0.658853683,13.09225832,27.94439609,673,368,600141,341037,6,,,,,
253,4,16,128,0.03265564,0.695963318,10.22746308,23.12660318,481,500,384414,615764,6,,,,,
254,2,8,128,0.148366504,0.493130425,9.575173776,9.473600165,556,79,670148,536224,6,,,,,
255,8,16,64,0.010673817,0.229265874,4.320510907,30.59773217,125,155,237398,205844,4,,,,,
256,8,8,1024,0.141506662,0.370439474,11.82697472,19.30066393,508,293,11581,736935,6,,,,,
257,2,4,256,0.203423273,0.598549104,8.11009297,9.076294547,221,409,328041,404351,2,,,,,
258,2,4,256,0.177795826,0.097107917,19.58401252,15.62881534,620,388,767009,929929,2,,,,,
259,2,8,64,0.380231283,0.403192163,11.50717578,23.41035064,848,164,321464,518191,2,,,,,
260,2,2,64,0.249579107,0.125403525,7.042398748,27.41530674,721,580,599544,951,4,,,,,
261,8,2,128,0.325300569,0.138228366,5.813415942,27.4822335,559,538,316569,553432,6,,,,,
262,8,8,64,0.324712194,0.221384246,17.36276881,12.48147347,360,854,671929,30469,4,,,,,
263,2,4,128,0.313256138,0.815079617,2.726174816,2.19471998,713,695,116260,821587,8,,,,,
264,8,8,256,0.302087905,0.51037385,15.30925397,5.51074111,31,558,145374,39903,8,,,,,
265,4,16,1024,0.202272576,0.776514876,16.99507226,10.82084887,169,304,323142,742305,2,,,,,
266,8,8,32,0.359793464,0.730537785,16.56440193,20.56394999,149,84,186698,332937,6,,,,,
267,2,4,256,0.327302426,0.298666905,6.520901826,26.76509506,304,265,133406,780053,4,,,,,
268,2,16,32,0.319041727,0.609487901,2.837462209,15.4028983,265,138,364947,688109,2,,,,,
269,8,8,128,0.132033869,0.744783049,16.8366643,19.53272098,561,198,133539,764361,6,,,,,
270,4,4,16,0.08932951,0.77236234,11.81107652,25.57814876,70,302,732996,653606,6,,,,,
271,2,16,128,0.080891607,0.778376711,17.24822042,4.732573853,211,345,376687,181146,6,,,,,
272,8,2,32,0.042601604,0.401314929,11.94489439,21.62540108,492,469,697615,748318,4,,,,,
273,4,8,128,0.079989807,0.092657634,12.96461283,2.357490142,507,834,436170,639071,6,,,,,
274,4,16,16,0.154888174,0.440821214,3.560611529,29.44931733,817,367,546581,770358,6,,,,,
275,4,4,256,0.390969647,0.678732187,15.70716064,12.35505086,614,161,559065,42703,2,,,,,
276,4,16,16,0.044625524,0.489706616,4.64575761,29.11015599,712,915,311302,208447,2,,,,,
277,8,16,64,0.334713221,0.228329013,9.75412812,23.76072732,705,1040,696375,4872,4,,,,,
278,8,16,256,0.242508418,0.746491162,21.57705679,9.008058046,901,421,138995,720205,2,,,,,
279,2,8,512,0.073788002,0.721469464,12.09544741,17.71994302,867,637,267449,362930,2,,,,,
280,8,8,32,0.063724093,0.286313447,20.30382827,3.341779136,548,217,802870,384991,4,,,,,
281,8,2,512,0.257196231,0.065058914,16.37539595,29.05930936,363,976,719156,203911,8,,,,,
